!!!ObjTables DocumentName='' Name='' ObjTablesVersion='1.0' Date='2021-3-30' schema='SBtab' objTablesVersion='1.0.1'
!!ObjTables TableID='compartment' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Compartment' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compartment' name='Compartment' objTablesVersion='1.0.1'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular space	nan		
p	periplasm	nan		

!!ObjTables TableID='compound' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Compound' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compound' name='Compound' objTablesVersion='1.0.1'
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge	!Identifiers:bigg_metabolite	!Identifiers:biocyc	!Identifiers:obo.chebi	!Identifiers:hmdb	!Identifiers:inchi_key	!Identifiers:kegg_compound	!Identifiers:metanetx_chemical	!Identifiers:reactome_compound	!Identifiers:sabiork	!Identifiers:seed_compound	!Identifiers:envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound	!Identifiers:envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound	!Identifiers:kegg_drug	!Identifiers:envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound	!Identifiers:lipidmaps	!Identifiers:envipath/5882df9c-dae1-4d80-a40e-db4724271456/compound	!Identifiers:slm	!Identifiers:kegg_glycan
R_3OAS100	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	M_h_c + M_malACP_c + M_ocACP_c <=> M_3odecACP_c + M_ACP_c + M_co2_c				SBO:0000176	False	(G_b2323 or G_b1095)	cobra_0_bound	cobra_default_ub	3OAS100		2.3.1.86		MNXR94954				
R_3OAS120	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	M_dcaACP_c + M_h_c + M_malACP_c <=> M_3oddecACP_c + M_ACP_c + M_co2_c				SBO:0000176	False	(G_b1095 or G_b2323)	cobra_0_bound	cobra_default_ub	3OAS120		2.3.1.86		MNXR94955				
R_3OAR40	3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	M_actACP_c + M_h_c + M_nadph_c <=> M_3haACP_c + M_nadp_c				SBO:0000176	True	G_b1093	cobra_default_lb	cobra_default_ub	3OAR40		1.1.1.100		MNXR94950			rxn07994	
R_3OAR100	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	M_3odecACP_c + M_h_c + M_nadph_c <=> M_3hdecACP_c + M_nadp_c				SBO:0000176	True	G_b1093	cobra_default_lb	cobra_default_ub	3OAR100	META:RXN-9528	1.1.1.100	R04534	MNXR94941			rxn05338	
R_3HAD60	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	M_3hhexACP_c <=> M_h2o_c + M_the2eACP_c				SBO:0000176	False	(G_b0954 or G_b0180)	cobra_0_bound	cobra_default_ub	3HAD60		2.3.1.-	R04954	MNXR94887			rxn05330	
R_3HAD100	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	M_3hdecACP_c <=> M_h2o_c + M_tdec2eACP_c				SBO:0000176	False	(G_b0954 or G_b0180)	cobra_0_bound	cobra_default_ub	3HAD100		2.3.1.-	R04535	MNXR94876			rxn05333	
R_3HAD140	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	M_3hmrsACP_c <=> M_h2o_c + M_tmrs2eACP_c				SBO:0000176	False	(G_b0954 or G_b0180)	cobra_0_bound	cobra_default_ub	3HAD140	META:RXN-9537	2.3.1.-	R04568	MNXR94879			rxn05335	
R_3HAD160	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	M_3hpalmACP_c <=> M_h2o_c + M_tpalm2eACP_c				SBO:0000176	False	(G_b0954 or G_b0180)	cobra_0_bound	cobra_default_ub	3HAD160		2.3.1.-	R04544	MNXR94881			rxn05332	
R_EAR40x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0)	M_but2eACP_c + M_h_c + M_nadh_c <=> M_butACP_c + M_nad_c				SBO:0000176	False	G_b1288	cobra_0_bound	cobra_default_ub	EAR40x		2.3.1.-		MNXR97863				
R_EAR60y	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)	M_h_c + M_nadph_c + M_the2eACP_c <=> M_hexACP_c + M_nadp_c				SBO:0000176	False	G_b1288	cobra_0_bound	cobra_default_ub	EAR60y		2.3.1.86		MNXR97866				
R_EAR60x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)	M_h_c + M_nadh_c + M_the2eACP_c <=> M_hexACP_c + M_nad_c				SBO:0000176	False	G_b1288	cobra_0_bound	cobra_default_ub	EAR60x		2.3.1.-		MNXR97865				
R_EAR80x	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)	M_h_c + M_nadh_c + M_toct2eACP_c <=> M_nad_c + M_ocACP_c				SBO:0000176	False	G_b1288	cobra_0_bound	cobra_default_ub	EAR80x		2.3.1.-		MNXR97867				
R_3OAR180	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	M_3ooctdACP_c + M_h_c + M_nadph_c <=> M_3hoctaACP_c + M_nadp_c				SBO:0000176	True	G_b1093	cobra_default_lb	cobra_default_ub	3OAR180		1.1.1.100		MNXR94948			rxn07992	
R_3OAS180	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	M_h_c + M_malACP_c + M_palmACP_c <=> M_3ooctdACP_c + M_ACP_c + M_co2_c				SBO:0000176	False	(G_b1095 or G_b2323)	cobra_0_bound	cobra_default_ub	3OAS180		2.3.1.41		MNXR94961				
R_3HAD180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	M_3hoctaACP_c <=> M_h2o_c + M_toctd2eACP_c				SBO:0000176	False	(G_b0954 or G_b0180)	cobra_0_bound	cobra_default_ub	3HAD180		2.3.1.-	R07764	MNXR94883			rxn07979	
R_NADH16pp	NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm)	4.0 M_h_c + M_nadh_c + M_q8_c <=> 3.0 M_h_p + M_nad_c + M_q8h2_c				SBO:0000185	False	(G_b2279 and G_b2277 and G_b2284 and G_b2282 and G_b2278 and G_b2288 and G_b2276 and G_b2287 and G_b2283 and G_b2281 and G_b2286 and G_b2280 and G_b2285)	cobra_0_bound	cobra_default_ub	NADH16pp		1.6.5.3		MNXR101864			rxn08972	
R_FA160ACPHi	Fatty-acyl-ACP hydrolase	M_h2o_c + M_palmACP_c <=> M_ACP_c + M_h_c + M_hdca_c				SBO:0000176	False	G_b0404	cobra_0_bound	cobra_default_ub	FA160ACPHi		3.1.2.14		MNXR99097				
R_FA120ACPHi	Fatty-acyl-ACP hydrolase	M_ddcaACP_c + M_h2o_c <=> M_ACP_c + M_ddca_c + M_h_c				SBO:0000176	False	G_b0404	cobra_0_bound	cobra_default_ub	FA120ACPHi		3.1.2.21		MNXR99087				
R_FA80ACPHi	Fatty-acyl-ACP hydrolase	M_h2o_c + M_ocACP_c <=> M_ACP_c + M_h_c + M_octa_c				SBO:0000176	False	G_b0404	cobra_0_bound	cobra_default_ub	FA80ACPHi		3.1.2.21		MNXR99125				
R_FA140ACPHi	Fatty-acyl-ACP hydrolase	M_h2o_c + M_myrsACP_c <=> M_ACP_c + M_h_c + M_ttdca_c				SBO:0000176	False	G_b0404	cobra_0_bound	cobra_default_ub	FA140ACPHi		3.1.2.14		MNXR99089				
R_FA100ACPHi	Fatty-acyl-ACP hydrolase	M_dcaACP_c + M_h2o_c <=> M_ACP_c + M_dca_c + M_h_c				SBO:0000176	False	G_b0404	cobra_0_bound	cobra_default_ub	FA100ACPHi		3.1.2.21		MNXR99086				
R_ETOHtrpp	Ethanol reversible transport via diffusion (periplasm)	M_etoh_p <=> M_etoh_c				SBO:0000185	True	G_s0001	cobra_default_lb	cobra_default_ub	ETOHtrpp	META:TRANS-RXN0-546			MNXR97980	35268		rxn09764	
R_ACPPAT161	Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1)	M_h_c + M_hdeACP_c + M_pi_c <=> M_ACP_c + M_hdceap_c				SBO:0000176	False	(G_b1094 and G_b1090)	cobra_0_bound	cobra_default_ub	ACPPAT161				MNXR95399				
R_ACPPAT180	Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0)	M_h_c + M_ocdcaACP_c + M_pi_c <=> M_ACP_c + M_ocdcap_c				SBO:0000176	False	(G_b1094 and G_b1090)	cobra_0_bound	cobra_default_ub	ACPPAT180				MNXR95400				
R_RNTR1c2	Ribonucleoside-triphosphate reductase (ATP) (flavodoxin)	M_atp_c + 2.0 M_flxr_c + 2.0 M_h_c <=> M_datp_c + 2.0 M_flxso_c + M_h2o_c				SBO:0000176	False	((G_b3924 and G_b0684 and G_b4238 and G_b4237) or (G_b3924 and G_b2895 and G_b4238 and G_b4237) or (G_b0684 and G_b4238) or (G_b2895 and G_b4238))	cobra_0_bound	cobra_default_ub	RNTR1c2				MNXR104072				
R_RNTR2c2	Ribonucleoside-triphosphate reductase (GTP) (flavodoxin)	2.0 M_flxr_c + M_gtp_c + 2.0 M_h_c <=> M_dgtp_c + 2.0 M_flxso_c + M_h2o_c				SBO:0000176	False	((G_b3924 and G_b2895 and G_b4238 and G_b4237) or (G_b2895 and G_b4238) or (G_b3924 and G_b0684 and G_b4238 and G_b4237) or (G_b0684 and G_b4238))	cobra_0_bound	cobra_default_ub	RNTR2c2				MNXR104075				
R_FLDR2	Flavodoxin reductase (NADPH)	2.0 M_flxso_c + M_nadph_c <=> 2.0 M_flxr_c + M_h_c + M_nadp_c				SBO:0000176	False	((G_b3924 and G_b2895) or (G_b3924 and G_b0684))	cobra_0_bound	cobra_default_ub	FLDR2				MNXR99599				
R_VPAMTr	Valine-pyruvate aminotransferase	M_3mob_c + M_ala__L_c <=> M_pyr_c + M_val__L_c				SBO:0000176	True	G_b3572	cobra_default_lb	cobra_default_ub	VPAMTr	META:VALINE-PYRUVATE-AMINOTRANSFER-RXN	2.6.1.66	R01215	MNXR105217	22913		rxn00904	
R_ACPPAT181	Acyl-(acyl carrier protein):phosphate acyltransferase (C18:1)	M_h_c + M_octeACP_c + M_pi_c <=> M_ACP_c + M_ocdceap_c				SBO:0000176	False	(G_b1094 and G_b1090)	cobra_0_bound	cobra_default_ub	ACPPAT181				MNXR95401				
R_APH161	Acylphosphatase (C16:1)	M_h2o_c + M_hdceap_c <=> 2.0 M_h_c + M_hdcea_c + M_pi_c				SBO:0000176	False	G_b0968	cobra_0_bound	cobra_default_ub	APH161				MNXR95880				
R_APH180	Acylphosphatase (C18:0)	M_h2o_c + M_ocdcap_c <=> 2.0 M_h_c + M_ocdca_c + M_pi_c				SBO:0000176	False	G_b0968	cobra_0_bound	cobra_default_ub	APH180				MNXR95881				
R_APH181	Acylphosphatase (C18:1)	M_h2o_c + M_ocdceap_c <=> 2.0 M_h_c + M_ocdcea_c + M_pi_c				SBO:0000176	False	G_b0968	cobra_0_bound	cobra_default_ub	APH181				MNXR95882				
R_PIt2rpp	Phosphate reversible transport via symport (periplasm)	M_h_p + M_pi_p <=> M_h_c + M_pi_c				SBO:0000185	False	(G_b3493 or G_b2987)	cobra_0_bound	cobra_default_ub	PIt2rpp	META:TRANS-RXN-114			MNXR102872	29942		rxn09120	
R_PItpp	Phosphate export via facillated diffusion (periplasm)	M_pi_c <=> M_pi_p				SBO:0000185	False	G_b4020	cobra_0_bound	cobra_default_ub	PItpp								
R_SUCCt1pp	Succinate transport via diffusion in (periplasm)	M_succ_p <=> M_succ_c				SBO:0000185	True	G_b1206	cobra_default_lb	cobra_default_ub	SUCCt1pp								
R_RBIO	Reduced Biomass from iML1515	0.00227799999999994 M_dhap_c + 0.253687 M_thr__L_c + 0.0667000000000006 M_pep_c + 0.139028 M_glyc3p_c + 0.35482 M_ser__L_c + 0.160525 M_ctp_c + 0.0944880000000008 M_accoa_c + 0.295792 M_arg__L_c + 0.243909000000003 M_asp__L_c + 0.191736999999904 M_h_p + 0.153686 M_met__L_c + 0.0150679999999989 M_nh4_c + 0.150428 M_hdeACP_c + 0.137896 M_tyr__L_c + 0.0921560000000023 M_cys__L_c + 0.056843 M_trp__L_c + 0.343161 M_lys__L_c + 76.234149 M_atp_c + 0.026166 M_dttp_c + 0.027017 M_dctp_c + 0.0393579999999999 M_ru5p__D_c + 0.238592 M_utp_c + 0.026166 M_datp_c + 0.196459999999998 M_glu__L_c + 0.00227799999999944 M_fum_c + 0.290529 M_ile__L_c + 0.357648 M_gln__L_c + 0.583159 M_ala__L_c + 0.185265 M_phe__L_c + 0.000576000000002303 M_mlthf_c + 70.374734 M_h2o_c + 0.612638 M_gly_c + 0.0944879999999999 M_f6p_c + 0.00227799999999988 M_prpp_c + 0.094738 M_his__L_c + 0.004338 M_so4_c + 0.215319 M_gtp_c + 0.0285870000000021 M_nadph_c + 0.423162 M_val__L_c + 0.221055 M_pro__L_c + 0.241055 M_asn__L_c + 0.450531 M_leu__L_c + 0.027017 M_dgtp_c + 0.127628 M_palmACP_c + 0.077824 M_3hmrsACP_c + 0.000576000000002147 M_3mob_c + 0.027788 M_26dap__M_c <=> 0.038912 M_ac_c + 75.9644729999998 M_h_c + 0.0472439999999999 M_ump_c + 76.053218 M_adp_c + 75.834272 M_pi_c + 0.000576000000002084 M_thf_c + 1.05533900000001 M_ppi_c + 0.0285870000000021 M_nadp_c + 0.00227799999999944 M_succ_c + 0.027017 M_cdp_c + 0.00285400000000227 M_amp_c + 0.000669 M_for_c + 0.0944880000000023 M_coa_c + 0.047244 M_udp_c + 0.14245800000001 M_co2_c + 0.35588 M_ACP_c					False		cobra_0_bound	cobra_default_ub									

!!ObjTables TableID='parameter' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Quantity' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' objTablesVersion='1.0.1'
!ID	!Parameter:SBML:parameter:id	!Value	!Unit	!Type	!SBOTerm
cobra_default_lb	cobra_default_lb	-1000.0		global parameter	SBO:0000626
cobra_default_ub	cobra_default_ub	1000.0		global parameter	SBO:0000626
cobra_0_bound	cobra_0_bound	0.0		global parameter	SBO:0000626
minus_inf	minus_inf	-inf		global parameter	SBO:0000626
plus_inf	plus_inf	inf		global parameter	SBO:0000626
R_EX_glc__D_e_lower_bound	R_EX_glc__D_e_lower_bound	-10.0	mmol_per_gDW_per_hr	global parameter	SBO:0000625
R_ATPM_lower_bound	R_ATPM_lower_bound	6.86	mmol_per_gDW_per_hr	global parameter	SBO:0000625

!!ObjTables TableID='fbcobj' Document='Escherichia_coli_iCH360_wo_exchange' TableType='FbcObjective' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='FbcObjective' name='FBC Objective' objTablesVersion='1.0.1'
!ID	!Name	!SBML:fbc:type	!SBML:fbc:active	!SBML:fbc:objective
obj		maximize	True	1.0 * R_RBIO

!!ObjTables TableID='gene' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Gene' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Gene' name='FBC Gene' objTablesVersion='1.0.1'
!ID	!SBML:fbc:ID	!SBML:fbc:Name	!SBML:fbc:geneProduct	!SBML:fbc:label	!Identifiers:asap	!Identifiers:ecogene	!Identifiers:ncbigene	!Identifiers:ncbigi	!Identifiers:refseq_locus_tag	!Identifiers:refseq_name	!Identifiers:refseq_synonym	!Identifiers:uniprot
G_b2551	G_b2551	glyA	True	G_b2551	ABE-0008389	EG10408	947022	16130476	b2551	glyA	JW2535	P0A825
G_b0008	G_b0008	talB	True	G_b0008	ABE-0000027	EG11556	944748	16128002	b0008	talB	ECK0008	P0A870
G_b3500	G_b3500	gor	True	G_b3500	ABE-0011432	EG10412	948014	16131372	b3500	gor	JW3467	P06715
G_b2465	G_b2465	tktB	True	G_b2465	ABE-0008117	EG12100	945865	16130390	b2465	tktB	ECK2460	P33570
G_b0945	G_b0945	pyrD	True	G_b0945	ABE-0003201	EG10807	945556	16128912	b0945	pyrD	ECK0936	P0A7E1
G_b3916	G_b3916	pfkA	True	G_b3916	ABE-0012789	EG10699	948412	16131754	b3916	pfkA	ECK3908	P0A796
G_b1095	G_b1095	fabF	True	G_b1095	ABE-0003705	EG12606	946665	16129058	b1095	fabF	fabJ	P0AAI5
G_b1260	G_b1260	trpA	True	G_b1260	ABE-0004232	EG11024	946204	16129221	b1260	trpA	tryp	P0A877
G_b1094	G_b1094	acpP	True	G_b1094	ABE-0003703	EG50003	944805	16129057	b1094	acpP	JW1080	P0A6A8
G_b2836	G_b2836	aas	True	G_b2836	ABE-0009302	EG11679	947315	16130740	b2836	aas	ECK2832	P31119
G_b2472	G_b2472	dapE	True	G_b2472	ABE-0008142	EG10208	948313	16130397	b2472	dapE	JW2456	P0AED7
G_b2935	G_b2935	tktA	True	G_b2935	ABE-0009625	EG11427	947420	49176286	b2935	tktA	ECK2930	P27302
G_b1261	G_b1261	trpB	True	G_b1261	ABE-0004234	EG11025	945768	16129222	b1261	trpB	ECK1255	P0A879
G_b4054	G_b4054	tyrB	True	G_b4054	ABE-0013278	EG11040	948563	16131880	b4054	tyrB	ECK4046	P04693
G_b3770	G_b3770	ilvE	True	G_b3770	ABE-0012316	EG10497	948278	49176403	b3770	ilvE	JW5606	P0AB80
G_b3281	G_b3281	aroE	True	G_b3281	ABE-0010763	EG10077	947776	16131162	b3281	aroE	JW3242	P15770
G_b1692	G_b1692	ydiB	True	G_b1692	ABE-0005651	EG11234	946200	16129648	b1692	ydiB	ECK1690	P0A6D5
G_b0243	G_b0243	proA	True	G_b0243	ABE-0000832	EG10767	946680	16128229	b0243	proA	ECK0244	P07004
G_b1478	G_b1478	adhP	True	G_b1478	ABE-0004928	EG12622	946036	90111280	b1478	adhP	JW1474	P39451
G_b0126	G_b0126	can	True	G_b0126	ABE-0000442	EG12319	944832	16128119	b0126	can	JW0122	P61517
G_b0339	G_b0339	cynT	True	G_b0339	ABE-0001171	EG10176	946548	16128324	b0339	cynT	JW0330	P0ABE9
G_b4006	G_b4006	purH	True	G_b4006	ABE-0013097	EG10795	948503	16131836	b4006	purH	JW3970	P15639
G_b2508	G_b2508	guaB	True	G_b2508	ABE-0008257	EG10421	946985	16130433	b2508	guaB	ECK2504	P0ADG7
G_b0474	G_b0474	adk	True	G_b0474	ABE-0001645	EG10032	945097	16128458	b0474	adk	dnaW	P69441
G_b2518	G_b2518	ndk	True	G_b2518	ABE-0008291	EG10650	945611	16130443	b2518	ndk	ECK2514	P0A763
G_b1062	G_b1062	pyrC	True	G_b1062	ABE-0003607	EG10806	945787	16129025	b1062	pyrC	ECK1047	P05020
G_b1281	G_b1281	pyrF	True	G_b1281	ABE-0004304	EG10809	947121	16129242	b1281	pyrF	JW1273	P08244
G_b0720	G_b0720	gltA	True	G_b0720	ABE-0002451	EG10402	945323	16128695	b0720	gltA	icdB	P0ABH7
G_b1136	G_b1136	icd	True	G_b1136	ABE-0003823	EG10489	945702	16129099	b1136	icd	ECK1122	P08200
G_b1241	G_b1241	adhE	True	G_b1241	ABE-0004164	EG10031	945837	16129202	b1241	adhE	ana	P0A9Q7
G_b0351	G_b0351	mhpF	True	G_b0351	ABE-0001207	EG13625	945008	16128336	b0351	mhpF	ECK0348	P77580
G_b2502	G_b2502	ppx	True	G_b2502	ABE-0008238	EG11403	946970	16130427	b2502	ppx	JW2487	P0AFL6
G_b4226	G_b4226	ppa	True	G_b4226	ABE-0013824	EG10755	948748	16132048	b4226	ppa	ECK4222	P0A7A9
G_b2744	G_b2744	umpG	True	G_b2744	ABE-0009008	EG11817	947211	16130651	b2744	umpG	ECK2739	P0A840
G_b3403	G_b3403	pck	True	G_b3403	ABE-0011106	EG10688	945667	16131280	b3403	pck	ECK3390	P22259
G_b3008	G_b3008	metC	True	G_b3008	ABE-0009878	EG10583	946240	16130906	b3008	metC	ECK3000	P06721
G_b1479	G_b1479	maeA	True	G_b1479	ABE-0004931	EG10948	946031	90111281	b1479	maeA	ECK1473	P26616
G_b2379	G_b2379	alaC	True	G_b2379	ABE-0007850	EG14198	946850	16130311	b2379	alaC	JW2376	P77434
G_b2290	G_b2290	alaA	True	G_b2290	ABE-0007560	EG14101	946772	16130225	b2290	alaA	ECK2284	P0A959
G_b0910	G_b0910	cmk	True	G_b0910	ABE-0003101	EG11265	945535	16128877	b0910	cmk	ECK0901	P0A6I0
G_b3564	G_b3564	xylB	True	G_b3564	ABE-0011637	EG11075	948133	16131435	b3564	xylB	ECK3553	P09099
G_b3642	G_b3642	pyrE	True	G_b3642	ABE-0011904	EG10808	948157	16131513	b3642	pyrE	JW3617	P0A7E3
G_b0063	G_b0063	araB	True	G_b0063	ABE-0000223	EG10053	946017	16128057	b0063	araB	JW0062	P08204
G_b3648	G_b3648	gmk	True	G_b3648	ABE-0011930	EG10965	948163	16131519	b3648	gmk	spoR	P60546
G_b3752	G_b3752	rbsK	True	G_b3752	ABE-0012266	EG10818	948260	16131620	b3752	rbsK	JW3731	P0A9J6
G_b3771	G_b3771	ilvD	True	G_b3771	ABE-0012318	EG10496	948277	49176404	b3771	ilvD	ECK3763	P05791
G_b3926	G_b3926	glpK	True	G_b3926	ABE-0012825	EG10398	948423	16131764	b3926	glpK	ECK3918	P0A6F3
G_b0928	G_b0928	aspC	True	G_b0928	ABE-0003150	EG10096	945553	16128895	b0928	aspC	ECK0919	P00509
G_b2930	G_b2930	yggF	True	G_b2930	ABE-0009615	EG11245	947410	16130831	b2930	yggF	JW2897	P21437
G_b2579	G_b2579	grcA	True	G_b2579	ABE-0008489	EG11784	947068	16130504	b2579	grcA	JW2563	P68066
G_b4232	G_b4232	fbp	True	G_b4232	ABE-0013842	EG10283	948753	16132054	b4232	fbp	fdp	P0A993
G_b3114	G_b3114	tdcE	True	G_b3114	ABE-0010242	EG12758	947623	49176316	b3114	tdcE	yhaS	P42632
G_b3697	G_b3697	yidA	True	G_b3697	ABE-0012086	EG11195	948204	16131565	b3697	yidA	ECK3689	P0A8Y5
G_b3925	G_b3925	glpX	True	G_b3925	ABE-0012821	EG11517	948424	16131763	b3925	glpX	ECK3917	P0A9C9
G_b3952	G_b3952	pflC	True	G_b3952	ABE-0012937	EG11911	948453	49176447	b3952	pflC	yijM	P32675
G_b1854	G_b1854	pykA	True	G_b1854	ABE-0006182	EG10803	946527	16129807	b1854	pykA	ECK1855	P21599
G_b0902	G_b0902	pflA	True	G_b0902	ABE-0003068	EG10028	945517	16128869	b0902	pflA	act	P0A9N4
G_b1676	G_b1676	pykF	True	G_b1676	ABE-0005600	EG10804	946179	16129632	b1676	pykF	JW1666	P0AD61
G_b0903	G_b0903	pflB	True	G_b0903	ABE-0003071	EG10701	945514	16128870	b0903	pflB	JW0886	P09373
G_b3951	G_b3951	pflD	True	G_b3951	ABE-0012934	EG11910	948454	16131789	b3951	pflD	JW3923	P32674
G_b4152	G_b4152	frdC	True	G_b4152	ABE-0013598	EG10332	948680	16131977	b4152	frdC	JW4113	P0A8Q0
G_b0071	G_b0071	leuD	True	G_b0071	ABE-0000259	EG11575	945642	16128065	b0071	leuD	JW0070	P30126
G_b4153	G_b4153	frdB	True	G_b4153	ABE-0013602	EG10331	948666	16131978	b4153	frdB	ECK4149	P0AC47
G_b4154	G_b4154	frdA	True	G_b4154	ABE-0013604	EG10330	948667	16131979	b4154	frdA	JW4115	P00363
G_b0072	G_b0072	leuC	True	G_b0072	ABE-0000261	EG11576	945076	16128066	b0072	leuC	JW0071	P0A6A6
G_b4151	G_b4151	frdD	True	G_b4151	ABE-0013595	EG10333	948668	16131976	b4151	frdD	ECK4147	P0A8Q3
G_b0077	G_b0077	ilvI	True	G_b0077	ABE-0000290	EG10500	948793	90111084	b0077	ilvI	ECK0079	P00893
G_b0078	G_b0078	ilvH	True	G_b0078	ABE-0000294	EG10499	947267	16128071	b0078	ilvH	JW0077	P00894
G_b3671	G_b3671	ilvB	True	G_b3671	ABE-0011999	EG10494	948182	16131541	b3671	ilvB	JW3646	P08142
G_b2297	G_b2297	pta	True	G_b2297	ABE-0007582	EG20173	946778	16130232	b2297	pta	ECK2291	P0A9M8
G_b3670	G_b3670	ilvN	True	G_b3670	ABE-0011997	EG10502	948183	16131540	b3670	ilvN	JW3645	P0ADF8
G_b0908	G_b0908	aroA	True	G_b0908	ABE-0003095	EG10073	945528	16128875	b0908	aroA	JW0891	P0A6D3
G_b1263	G_b1263	trpD	True	G_b1263	ABE-0004241	EG11027	945109	16129224	b1263	trpD	ECK1257	P00904
G_b2458	G_b2458	eutD	True	G_b2458	ABE-0008097	EG14188	946940	16130383	b2458	eutD	JW2442	P77218
G_b3115	G_b3115	tdcD	True	G_b3115	ABE-0010245	EG11172	947635	145698313	b3115	tdcD	yhaA	P11868
G_b1264	G_b1264	trpE	True	G_b1264	ABE-0004244	EG11028	945846	16129225	b1264	trpE	tryp-4	P00895
G_b2599	G_b2599	pheA	True	G_b2599	ABE-0008545	EG10707	947081	16130520	b2599	pheA	JW2580	P0A9J8
G_b1849	G_b1849	purT	True	G_b1849	ABE-0006162	EG11809	946368	16129802	b1849	purT	ECK1850	P33221
G_b2296	G_b2296	ackA	True	G_b2296	ABE-0007579	EG10027	946775	16130231	b2296	ackA	ECK2290	P0A6A3
G_b2600	G_b2600	tyrA	True	G_b2600	ABE-0008547	EG11039	947115	16130521	b2600	tyrA	JW2581	P07023
G_b2329	G_b2329	aroC	True	G_b2329	ABE-0007693	EG10075	946814	16130264	b2329	aroC	ECK2323	P12008
G_b1262	G_b1262	trpC	True	G_b1262	ABE-0004238	EG11026	945519	635341464	b1262	trpC	trpF	P00909
G_b2779	G_b2779	eno	True	G_b2779	ABE-0009110	EG10258	945032	16130686	b2779	eno	ECK2773	P0A6P9
G_b2925	G_b2925	fbaA	True	G_b2925	ABE-0009600	EG10282	947415	16130826	b2925	fbaA	JW2892	P0AB71
G_b2097	G_b2097	fbaB	True	G_b2097	ABE-0006941	EG14062	946632	90111385	b2097	fbaB	ECK2090	P0A991
G_b1702	G_b1702	ppsA	True	G_b1702	ABE-0005678	EG10759	946209	16129658	b1702	ppsA	JW1692	P23538
G_b4025	G_b4025	pgi	True	G_b4025	ABE-0013163	EG10702	948535	16131851	b4025	pgi	ECK4017	P0A6T1
G_b2926	G_b2926	pgk	True	G_b2926	ABE-0009605	EG10703	947414	16130827	b2926	pgk	JW2893	P0A799
G_s0001	G_s0001	G_s0001	True	G_s0001								
G_b0767	G_b0767	pgl	True	G_b0767	ABE-0002611	EG13231	946398	16128735	b0767	pgl	blu	P52697
G_b3386	G_b3386	rpe	True	G_b3386	ABE-0011061	EG11960	947896	16131264	b3386	rpe	dod	P0AG07
G_b0073	G_b0073	leuB	True	G_b0073	ABE-0000265	EG11577	944798	90111082	b0073	leuB	JW5807	P30125
G_b2464	G_b2464	talA	True	G_b2464	ABE-0008115	EG11797	947006	16130389	b2464	talA	JW2448	P0A867
G_b2026	G_b2026	hisI	True	G_b2026	ABE-0006729	EG10451	946515	16129967	b2026	hisI	hisE	P06989
G_b1800	G_b1800	dmlA	True	G_b1800	ABE-0005991	EG13507	946319	16129754	b1800	dmlA	JW1789	P76251
G_b0523	G_b0523	purE	True	G_b0523	ABE-0001796	EG10793	949031	16128507	b0523	purE	ade	P0AG18
G_b1131	G_b1131	purB	True	G_b1131	ABE-0003810	EG11314	945695	16129094	b1131	purB	JW1117	P0AB89
G_b2024	G_b2024	hisA	True	G_b2024	ABE-0006725	EG10444	946521	90111374	b2024	hisA	JW2006	P10371
G_b3607	G_b3607	cysE	True	G_b3607	ABE-0011793	EG10187	948126	16131478	b3607	cysE	JW3582	P0A9D4
